record_id,redcap_survey_identifier,intro_2_timestamp,identifier_v2,intro_variable_v2,intro_2_complete,presurvey_2_timestamp,pre_con_code_v2,pre_con_rapid_v2,pre_con_shock,pre_nerves_code_v2,pre_call_v2,pre_number_codes_v2,pre_number_rapids_v2,pre_leading_v2,pre_sims_v2,pre_interpret_v2,pre_rhythm_v2,pre_resources_v2,pre_ptsd_v2___1,pre_ptsd_v2___2,pre_ptsd_v2___3,pre_ptsd_v2___4,presurvey_2_complete,postsurvey_2_timestamp,con_code_post_v2_1ae769,con_rapid_post_v2_2b1eb4,post_con_shock_2,nerves_code_post_v2_38c320,post_call_2,post_cases_soft,post_cases_rhythm,post_cases_discuss,reminders_post_v2_b080b4___1,reminders_post_v2_b080b4___2,reminders_post_v2_b080b4___3,reminders_post_v2_b080b4___4,reminders_free_post_v2_709a86,postsurvey_2_complete
1,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
2,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
3,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
4,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
5,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
6,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
7,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
8,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
9,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
10,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
11,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
12,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
13,,,,,0,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,0,0,0,0,,0
