"Record ID","Survey Identifier","Survey Timestamp","Enter the first letter of your last name and the last 4 of your cell number. We will only use this to link your pre and post surveys.","Please select the appropriate survey to complete:",Complete?,"Survey Timestamp","Rate your confidence that you can reliably facilitate delivery standard of care resuscitation for an in-hospital cardiac arrest? (meaning, almost every time you lead a code, patients receive the standard of care)     1. Almost never, 5. sometimes, 10. almost always.","Rate your confidence that you can reliably facilitate delivery standard of care resuscitation for rapid response/MET? (meaning, almost every time you lead a rapid response/MET, patients receive the standard of care)     1. Almost never, 5. sometimes, 10. almost always.","Rate your confidence that you can interpret a rhythm strip and making a decision to provide appropriate standard of care? (monitoring, pacing, cardioversion, defibrillation, etc)     1. Almost never, 5. sometimes, 10. almost always.","How often do you think you'll have problems with team dynamics on Code Blue / Rapid Response teams?      1. Almost never, 5. sometimes, 10. almost always.","How likely are you to call for an attending to join you for a rapid response if one isn't already there?     1. Almost never, 5. sometimes, 10. almost always.","Roughly, how many code blues have you been to as an intern (best guess)?","Roughly, how many rapid responses/METs have you been to as an intern (best guess)? ","Have you led either a rapid response or a code blue as an intern? How many? ","How many times have you led a simulated/scenario code blue or rapid response in training? ","Have you been involved in the decision to urgently/emergently cardiovert a patient?","2 minute pulse check shows the above image. What is the next step?","A patient on the floor experiences flash pulmonary edema. Oxygen needs go from 3L nasal cannula to 15L nonrebreather. What is the best next immediate step?","Bringing family in to observe an attempt at resuscitation has been shown to: [select all that apply] (choice=increase ROSC rate)","Bringing family in to observe an attempt at resuscitation has been shown to: [select all that apply] (choice=decrease ROSC rate)","Bringing family in to observe an attempt at resuscitation has been shown to: [select all that apply] (choice=increase PTSD in the family)","Bringing family in to observe an attempt at resuscitation has been shown to: [select all that apply] (choice=decrease PTSD in the family)",Complete?,"Survey Timestamp","Rate your confidence that you can reliably facilitate delivery standard of care resuscitation for an in-hospital cardiac arrest? (meaning, almost every time you lead a code, patients receive the standard of care)    1. Almost never, 5. sometimes, 10. almost always.","Rate your confidence that you can reliably facilitate delivery standard of care resuscitation for rapid response/MET? (meaning, almost every time you lead a rapid response/MET, patients receive the standard of care)    1. Almost never, 5. sometimes, 10. almost always.","Rate your confidence that you can interpret a rhythm strip and making a decision to provide appropriate standard of care? (monitoring, pacing, cardioversion, defibrillation, etc)    1. Almost never, 5. sometimes, 10. almost always.","How often do you think you'll have problems with team dynamics on Code Blue / Rapid Response teams?      1. Almost never, 5. sometimes, 10. almost always.","How likely are you to call for an attending to join you for a rapid response if one isn't already there?    1. Almost never, 5. sometimes, 10. almost always.","On a scale of 1-10, how helpful were the modules in reinforcing clinical concepts related to leadership and management of rapids and codes?     1. Almost never, 5. sometimes always, 10. almost always","On a scale of 1-10, how helpful were the cases in reinforcing clinical concepts related to leadership and management of rapids and codes?    1. Almost never, 5. sometimes, 10. almost always.","On a scale of 1-10, how helpful was the informal discussion in reinforcing clinical concepts related to leadership and management of rapids and codes?    1. Almost never, 5. sometimes, 10. almost always.","Would you be interested in receiving additional learning resources and/or periodic reminders related to running code blues / RRTs? If so, which is most appealing:  (choice=Not interested)","Would you be interested in receiving additional learning resources and/or periodic reminders related to running code blues / RRTs? If so, which is most appealing:  (choice=Anki flashcard deck with high yield facts)","Would you be interested in receiving additional learning resources and/or periodic reminders related to running code blues / RRTs? If so, which is most appealing:  (choice=Newsletter style reminders delivered by email)","Would you be interested in receiving additional learning resources and/or periodic reminders related to running code blues / RRTs? If so, which is most appealing:  (choice=Text-delivered snippets at start of ward rotations.)","If you have ideas for ongoing reminders or additional resources not listed above, list them here:",Complete?
1,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
2,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
3,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
4,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
5,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
6,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
7,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
8,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
9,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
10,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
11,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
12,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
13,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
14,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
15,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
16,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
17,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
18,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
19,,,,,Incomplete,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Incomplete,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,,Incomplete
