variable_name,readable_name,definition,description,type,units,allowed_values,value_labels,missing_values,source_or_origin,derivation_or_transformation,validation_rules,notes,review_status
record_id,Record ID,REDCap record identifier,Sequential REDCap record identifier for the course evaluation export,integer,,positive integer,,blank,REDCap export,None,must be unique within export,Restricted metadata; do not commit row-level data,reviewed
redcap_survey_identifier,Survey Identifier,REDCap survey identifier,Survey-level REDCap identifier when present,string,,,,blank,REDCap export,None,string or blank,Restricted metadata,reviewed
intro_2_timestamp,Intro survey timestamp,Timestamp for intro survey submission,Date-time captured by REDCap for intro survey completion,datetime,,ISO-like date-time,,blank,REDCap export,None,valid date-time or blank,Restricted timing metadata,reviewed
identifier_v2,Trainee linkage identifier,Self-entered linkage field,First letter of last name plus last four digits of cell number used to link pre and post surveys,string,,,,blank,REDCap survey,None,string; should not be public,Directly trainee-linking field; restricted,reviewed
intro_variable_v2,Survey phase selector,Selected survey phase,Indicates whether the response is pre-survey or post-survey,categorical,,1|2,1 = Pre-Survey | 2 = Post-Survey,blank,REDCap survey,None,must be 1 or 2 when present,Verify current REDCap coding before reuse,needs_review
intro_2_complete,Intro survey complete flag,REDCap completion flag,Completion status for intro survey,categorical,,0|1|2,0 = Incomplete | 1 = Unverified | 2 = Complete,blank,REDCap export,None,must be one of 0,1,2,Verify REDCap completion coding,needs_review
presurvey_2_timestamp,Pre-survey timestamp,Timestamp for pre-survey submission,Date-time captured by REDCap for pre-course survey completion,datetime,,ISO-like date-time,,blank,REDCap export,None,valid date-time or blank,Restricted timing metadata,reviewed
pre_con_code_v2,Pre code confidence,Pre-course confidence leading in-hospital cardiac arrest care,Self-rated confidence that the learner can facilitate standard-of-care resuscitation for an in-hospital cardiac arrest,integer,1-10,1-10,1 = almost never | 5 = sometimes | 10 = almost always,blank,Pre-course survey,None,integer 1-10,Restricted row-level response; aggregate summaries may be public,reviewed
pre_con_rapid_v2,Pre rapid response confidence,Pre-course confidence leading rapid response or MET care,Self-rated confidence that the learner can facilitate standard-of-care rapid response or MET care,integer,1-10,1-10,1 = almost never | 5 = sometimes | 10 = almost always,blank,Pre-course survey,None,integer 1-10,Restricted row-level response,reviewed
pre_con_shock,Pre rhythm/shock confidence,Pre-course confidence interpreting rhythm strip and selecting cardioversion/defibrillation or related response,Self-rated rhythm interpretation and shock/no-shock confidence,integer,1-10,1-10,1 = almost never | 5 = sometimes | 10 = almost always,blank,Pre-course survey,None,integer 1-10,Restricted row-level response,reviewed
pre_nerves_code_v2,Pre team-dynamics concern,Expected frequency of team-dynamics problems during Code Blue or Rapid Response,Self-rated anticipated team-dynamics difficulty,integer,1-10,1-10,1 = almost never | 5 = sometimes | 10 = almost always,blank,Pre-course survey,None,integer 1-10,Restricted row-level response; direction should be handled carefully,reviewed
pre_call_v2,Pre attending call likelihood,Likelihood of calling attending to rapid response,Self-rated likelihood of calling for attending help when one is not already present,integer,1-10,1-10,1 = almost never | 5 = sometimes | 10 = almost always,blank,Pre-course survey,None,integer 1-10,Restricted row-level response,reviewed
pre_number_codes_v2,Prior code blues attended,Estimated number of Code Blues attended as an intern,Prior exposure count,numeric,count,non-negative numeric,,blank,Pre-course survey,None,non-negative numeric,Small-cell educational exposure data,reviewed
